,country,sort,tools,math_average
250,Bulgaria,50,both,449.863910696
251,Tunisia,51,both,409.458143884
252,Korea,52,both,561.038859853
253,United Kingdom,53,both,495.326723611
254,Massachusetts (USA),54,both,514.823881453
255,Montenegro,55,both,412.121924807
256,Vietnam,56,both,537.695556652
257,Netherlands,57,both,522.327708099
258,Costa Rica,58,both,424.88831271
259,Argentina,59,both,411.499533207
260,Albania,60,both,394.682230515
261,Turkey,61,both,472.869661102
262,Colombia,62,both,408.7556475
263,Kazakhstan,63,both,445.684567401
264,Brazil,64,both,409.107810203
265,Romania,65,both,454.417850984
266,Indonesia,66,both,413.624367897
267,Poland,67,both,524.77747846
268,China-Shanghai,1,average_all,610.547029689
269,Slovak Republic,2,average_all,568.359669005
270,Hong Kong-China,3,average_all,561.27409576
271,Chinese Taipei,4,average_all,557.576850662
272,Latvia,5,average_all,554.228403557
273,Malaysia,6,average_all,538.31304553
274,Lithuania,7,average_all,537.899774403
275,Jordan,8,average_all,536.064599858
276,Estonia,9,average_all,521.805049948
277,Thailand,10,average_all,520.672206367
278,Portugal,11,average_all,520.592925917
279,Belgium,12,average_all,519.868902164
280,Czech Republic,13,average_all,519.77497768
281,New Zealand,14,average_all,518.133386278
282,Germany,15,average_all,513.932189262
283,Canada,16,average_all,509.328982185
284,Austria,17,average_all,507.711752555
285,Finland,18,average_all,507.525776249
286,Mexico,19,average_all,506.37206599
287,Norway,20,average_all,501.390670986
288,Connecticut (USA),21,average_all,501.166969476
289,Ireland,22,average_all,500.903629187
290,France,23,average_all,499.470435703
291,Liechtenstein,24,average_all,495.449250046
292,Sweden,25,average_all,495.359864907
293,Iceland,26,average_all,493.147076539
294,Australia,27,average_all,492.842854775
295,Japan,28,average_all,491.904166765
296,Macao-China,29,average_all,490.269929802
297,Perm(Russian Federation),30,average_all,489.752776099
298,United States of America,31,average_all,489.645544901
299,Peru,32,average_all,487.163723509
300,Denmark,33,average_all,486.185453108
301,Slovenia,34,average_all,485.644733882
302,Hungary,35,average_all,485.390840062
303,Qatar,36,average_all,484.559764733
304,Spain,37,average_all,484.48120878
305,Serbia,38,average_all,482.702941942
306,Uruguay,39,average_all,481.032476175
307,Switzerland,40,average_all,479.152938028
308,Luxembourg,41,average_all,478.680924534
309,Croatia,42,average_all,469.833120827
310,Italy,43,average_all,468.885821662
311,Florida (USA),44,average_all,464.957490506
312,Greece,45,average_all,453.890067746
313,United Arab Emirates,46,average_all,448.833618276
314,Singapore,47,average_all,447.735377498
315,Russian Federation,48,average_all,445.797145644
316,Chile,49,average_all,444.419644268
317,Bulgaria,50,average_all,442.158361359
318,Tunisia,51,average_all,441.147091114
319,Korea,52,average_all,431.537518371
320,United Kingdom,53,average_all,431.373626017
321,Massachusetts (USA),54,average_all,422.788401405
322,Montenegro,55,average_all,418.634889171
323,Vietnam,56,average_all,410.95768698
324,Netherlands,57,average_all,406.39744433
325,Costa Rica,58,average_all,406.093702195
326,Argentina,59,average_all,395.402240758
327,Albania,60,average_all,395.296184883
328,Turkey,61,average_all,387.27974486
329,Colombia,62,average_all,386.185442037
330,Kazakhstan,63,average_all,382.623486559
331,Brazil,64,average_all,382.500792689
332,Romania,65,average_all,376.761702626
333,Indonesia,66,average_all,376.071790377
334,Poland,67,average_all,367.810655228
